fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-08-27,005930.KS,1,0.71,2.332277551020408,1.65,558,2.179688,2.179695,7.24e-06,2,2,0
2026-08-27,2330.TW,2,0.37,2.332277551020408,0.85,347,1.355469,1.358757,0.0032884,2,2,0
2026-08-27,3436.T,3,0.77,2.332277551020408,1.8,569,2.222656,2.225017,0.00236074,2,2,0
2026-08-27,4063.T,4,0.34,2.332277551020408,0.8,295,1.152344,1.155486,0.00314271,2,2,0
2026-08-27,6857.T,5,0.65,2.332277551020408,1.51,463,1.808594,1.811841,0.00324758,2,2,0
2026-08-27,8035.T,6,0.63,2.332277551020408,1.47,434,1.695312,1.698545,0.0032321,2,2,0
2026-08-27,IFX.DE,7,0.1,2.332277551020408,0.23,101,0.394531,0.395786,0.00125507,0,0,0
2026-08-28,000660.KS,0,0.92,-3.464566381528618,-3.19,-1358,-5.304688,-5.302914,0.00177302,1,1,0
2026-08-28,005930.KS,1,0.69,-3.464566381528618,-2.38,-1125,-4.394531,-4.391564,0.00296723,1,1,0
2026-08-28,2330.TW,2,0.36,-3.464566381528618,-1.24,-803,-3.136719,-3.133757,0.00296183,1,1,0
2026-08-28,3436.T,3,0.75,-3.464566381528618,-2.59,-1102,-4.304688,-4.303786,0.00090106,1,1,0
2026-08-28,4063.T,4,0.33,-3.464566381528618,-1.14,-683,-2.667969,-2.667517,0.00045157,1,1,0
2026-08-28,6857.T,5,0.61,-3.464566381528618,-2.13,-885,-3.457031,-3.456444,0.00058685,1,1,0
2026-08-28,8035.T,6,0.61,-3.464566381528618,-2.12,-839,-3.277344,-3.275293,0.00205072,1,1,0
2026-08-28,IFX.DE,7,0.09,-3.464566381528618,-0.32,-331,-1.292969,-1.292567,0.00040162,1,1,0
